potentialBGC	type	nucl_start	nucl_end	size	core_domains	product	sequence_id	Gene cluster genes	Gene cluster gene accessions	Compound with gene cluster of highest homology	Best_Match_BGC	Similarity
11	Saccharide	28256662	28514371	257709	Methyltransf_11, Peptidase_S10, UDPGT_2	flavonoid	NC_050097.1	LOC103646190;LOC10019_494;LOC10019_493;LOC100193629;LOC10019_492;LOC100285732;LOC107228385;LOC100384792;LOC100191835;LOC10019_495;LOC10019_496;LOC10019_497;LOC10019_498;LOC10019_499;LOC10019_500;LOC10019_501;LOC10019_502;LOC100280409;LOC100284211;LOC100192739;LOC100278189	XP_008669134.1;XP_020402994.1;NP_001132200.1;XP_008667196.1;XP_008667195.1;NP_001359257.1;NP_001307359.1;NP_001349399.1;XP_020402948.1;XP_020402947.1;XP_035820385.1;XP_035820386.1;NP_001130731.1;XP_008667066.1;XP_008667067.1;XP_008667068.1;XP_008667069.1;NP_001354861.1;NP_001150578.2;NP_001131410.1;NP_001145018.1		76.0	31.443298969072163
12	Saccharide-Alkaloid	39661682	40173137	511450	2OG-FeII_Oxy, AMP-binding, Amino_oxidase, Cu_amine_oxid, DIOX_N, Glyco_hydro_1	-	NC_050097.1	LOC100216620;LOC10021_122;LOC100383438;LOC100274944;LOC10019_545;LOC10019_546;LOC100194159;LOC10019_548;LOC10019_549;LOC10019_547;LOC100272363;LOC103646322;LOC100277330;LOC100381805;LOC103648573;LOC109943987;LOC103646324;LOC100281680;LOC100193114;LOC118476231	NP_001136505.1;XP_008667322.1;NP_001349013.1;NP_001309174.1;NP_001353924.1;XP_008667266.1;XP_008667265.1;NP_001344788.1;XP_008667269.1;XP_008667268.1;NP_001140318.1;XP_008669276.2;NP_001144397.2;NP_001168072.1;XP_020403859.1;XP_020403858.1;XP_020403860.1;NP_001148072.2;NP_001353941.1;XP_035820948.1		107.0	37.41339491916859
13	Alkaloid	46471501	47119180	647680	Aldo_ket_red, Lipoxygenase, Peptidase_S10, Pyridoxal_deC	-	NC_050097.1	LOC103646384;LOC10027_810;LOC100273302;LOC103646385;LOC10364_894;LOC100274507;LOC103646387;LOC100284551;ts1;ts1_1;LOC100272731;LOC10027_811	XP_008669337.1;NP_001141215.1;XP_008667513.1;XP_008669338.1;XP_008669339.1;NP_001340549.1;XP_008669340.1;NP_001359102.1;NP_001339442.1;XP_008666983.1;NP_001140656.1;XP_008667483.1		107.0	51.118210862619804
14	Terpene	114031814	114932760	900950	E1_dh, Terpene_synth, Terpene_synth_C, Transferase, p450	-	NC_050097.1	LOC118476346;LOC100382153;LOC100272834;LOC542693;LOC103646865;LOC10364_972;LOC100282374;LOC10028_758;LOC10028_759;LOC10028_760;LOC100278112;LOC10027_870;LOC10027_871;LOC10027_872;LOC10027_873;LOC10027_874;LOC10027_875;LOC10027_876;LOC10027_877;LOC10027_878;LOC10027_879;LOC103646867;LOC103646868;LOC100382246;LOC10038_406;LOC103646871	XP_035821226.1;NP_001168384.1;NP_001140759.1;NP_001307758.1;XP_008669716.1;XP_008669715.1;NP_001148758.1;XP_008667961.1;XP_035820690.1;XP_035820689.1;NP_001336893.1;XP_023157272.1;XP_023157273.1;XP_023157274.1;XP_023157275.1;XP_023157276.1;XP_023157277.1;XP_023157278.1;XP_023157279.1;XP_023157280.1;XP_023157281.1;XP_020404901.1;XP_008669719.2;XP_008668326.1;NP_001168470.1;XP_008669722.1		136.0	27.213822894168466
15	Terpene	115322400	116014430	692030	Terpene_synth, Terpene_synth_C, Transferase, p450	-	NC_050097.1	LOC100382250;LOC118476244;LOC100280034;LOC103648870;LOC100281754;LOC100285276;LOC100281036	NP_001168474.1;XP_035820968.1;NP_001146449.1;XP_020404553.1;NP_001148146.2;NP_001151641.1;NP_001147427.1		145.0	66.29213483146067
16	Fatty_acid-Saccharide	180407775	180854732	446960	FA_desaturase, Peptidase_S10, UDPGT_2	flavonoid	NC_050097.1	LOC109944048;LOC10994_53;LOC103647372;LOC10364_1125;LOC100383745;LOC103649125;LOC103647375;LOC100279397;LOC100284785;LOC100276691;LOC10027_919	XP_020404081.1;XP_020404082.1;XP_008670138.1;XP_008670139.1;NP_001169852.1;XP_008671689.2;NP_001351600.1;NP_001145881.1;NP_001151152.1;NP_001143890.1;XP_008667668.1		128.0	47.89915966386555
17	Putative	191872201	192110061	237860	Abhydrolase_3, Peptidase_S10	-	NC_050097.1	LOC103647489;LOC100274079;LOC100283775;LOC103647491;LOC103647493;LOC10019_665;LOC100193409;LOC103647494;LOC103647496	XP_008670243.1;NP_001141930.2;NP_001150146.2;XP_008670244.1;XP_008670247.1;NP_001132004.1;XP_008667171.1;XP_035821312.1;XP_020404682.1		52.0	54.92227979274611
18	Saccharide	199752956	200166103	413150	Epimerase, Methyltransf_11, UDPGT_2	-	NC_050097.1	LOC103647591;LOC103647592;LOC100275961;LOC103649209;LOC109944062;LOC100277178;LOC109944063;LOC103647596;LOC103649210;LOC100282633;LOC100191472;LOC103649211	XP_008670324.1;XP_008670325.1;NP_001143880.2;XP_020404117.1;XP_020404118.1;NP_001315565.1;XP_020404119.1;XP_020404956.1;XP_035820984.1;NP_001149013.1;NP_001354387.1;XP_020404957.1		188.0	46.6403162055336
19	Saccharide	229481749	229992995	511250	Acetyltransf_1, Peptidase_S10, UDPGT_2	flavonoid, oleananes	NC_050097.1	LOC103648019;LOC103648021;LOC10364_1307;LOC10364_1308;LOC100191964;LOC100382201;LOC10038_516;LOC103648024;LOC542217;LOC103649379;LOC100284223;LOC103648029;LOC10364_1310;LOC103648027;LOC10364_1309	XP_008670742.1;XP_035821428.1;XP_008670743.1;XP_008670745.1;NP_001130860.1;NP_001168431.1;XP_008668324.1;XP_008670746.1;NP_001292782.1;XP_020404780.1;NP_001150590.1;XP_008670753.1;XP_008670752.1;XP_008670751.1;XP_008670749.1		41.0	39.61661341853035
20	Saccharide	237394083	237862069	467990	2OG-FeII_Oxy, DIOX_N, ECH_2, Glyco_hydro_1	-	NC_050097.1	LOC100278480;LOC732778;LOC73277_1;LOC100282831;LOC100381583;LOC103648209;LOC103649474;LOC103648212;LOC10364_1384;LOC100284174;LOC103649476;LOC103649477;LOC103649478;LOC109944451;LOC103648213;LOC103648215	NP_001339837.1;NP_001105868.2;XP_008668665.2;NP_001149209.1;NP_001335955.1;XP_020404815.1;XP_020404816.1;XP_008670923.1;XP_008670921.1;NP_001150542.1;XP_008671962.1;XP_020404818.1;XP_008671964.2;XP_020404819.1;XP_008670926.1;XP_023157533.1		41.0	39.63414634146341
21	Saccharide	11147929	11689554	541620	Cellulose_synt, NAD_binding_1, p450	-	NC_050098.1	LOC100382270;LOC10038_588;LOC10038_589;LOC100283662;LOC10028_976;LOC10028_977;LOC118476630;LOC100273930;LOC103649684;LOC100278668;LOC100192956;LOC10019_773;LOC103649685;LOC542489;LOC103649687	XP_008673122.1;XP_020405440.1;NP_001168492.1;NP_001150035.1;XP_008672923.1;XP_008672924.1;XP_035822040.1;NP_001141794.1;NP_001306685.1;NP_001145339.2;XP_035821531.1;NP_001131606.1;XP_020406301.1;NP_001292792.1;XP_008673641.1		75.0	40.939597315436245
22	Lignan-Terpene	16814134	17534448	720310	Dirigent, Prenyltrans, Transferase, adh_short	-	NC_050098.1	LOC100279986;LOC10027_1174;LOC100279982;LOC10027_1175;LOC10027_1176;LOC103649769;LOC10364_1499;LOC100281920;LOC100285709;LOC109944958;LOC100277229;LOC100500950;LOC10050_189;LOC100276061;LOC100284226;LOC100279810;LOC100274548;LOC111921942;LOC11192_1	NP_001146406.1;XP_008672740.1;XP_020405268.1;NP_001146402.1;XP_008672738.1;XP_008673709.1;XP_008673710.1;NP_001148311.2;NP_001152072.2;XP_020406314.1;NP_001144332.1;XP_020405555.1;NP_001182780.1;NP_001361024.1;NP_001357547.1;NP_001146238.1;NP_001142376.1;NP_001347542.1;NP_001347541.1		41.0	36.46112600536193
23	Saccharide	137720566	138291681	571120	DAHP_synth_1, Glyco_hydro_1, Peptidase_S10	-	NC_050098.1	LOC100282964;LOC10028_1098;LOC103650606;LOC541833;LOC103650609;LOC100383452;LOC10038_644;LOC100273016;LOC100191165;LOC100174972;LOC103650610	NP_001149341.2;XP_035821751.1;XP_020406497.1;NP_001104984.2;XP_035822206.1;XP_023157686.1;NP_001344074.1;NP_001140938.1;NP_001130072.1;NP_001127755.1;XP_008674400.1		178.0	51.26050420168067
24	Saccharide	3805061	4163700	358640	His_biosynth, Trp_syntA, UDPGT_2, p450	cytokinin, small phenolic	NC_050099.1	LOC100274415;LOC103654408;LOC103654409;LOC103654411;LOC103654412;LOC10365_1298;LOC100278550;LOC103654413;LOC100303908;LOC10030_146	NP_001142246.1;XP_008679466.1;NP_001349320.1;NP_001288385.1;XP_020408381.1;XP_035823387.1;NP_001358642.1;XP_008679470.1;NP_001158962.1;XP_008677433.1		172.0	51.12107623318386
25	Terpene	6883024	7101554	218530	Terpene_synth, Terpene_synth_C, Transferase, p450	-	NC_050099.1	LOC100193624;LOC10019_1191;LOC10019_1192;LOC10019_1193;LOC10019_1194;LOC10019_1195;LOC10019_1196;LOC10019_1197;LOC10019_1198;LOC10019_1199;LOC10019_1200;LOC10019_1201;LOC103654591;LOC100273591;LOC103655901;LOC109945932	XP_020406882.1;XP_020406883.1;XP_020406884.1;XP_020406885.1;XP_035822556.1;XP_035822557.1;XP_035822558.1;XP_035822559.1;XP_035822560.1;XP_035822561.1;XP_035822562.1;NP_001132196.1;XP_008679653.2;NP_001141480.1;XP_020407908.1;XP_020407909.1		5.0	32.21476510067114
26	Saccharide	24530718	24879080	348360	Peptidase_S10, UDPGT_2, adh_short_C2	flavonoid, oleananes	NC_050099.1	LOC109946116;LOC100275485;LOC100281922;LOC10019_1250;LOC10019_1248;LOC10019_1249;LOC10019_1246;LOC10019_1247;LOC100193841;LOC100285018;LOC10028_1620;LOC10365_1432;LOC10365_1433;LOC103654937;LOC10365_1431;LOC100273306;LOC100192524;LOC100282728;LOC109945653;LOC100273993;LOC10027_2081;LOC100274389;LOC10027_2082;LOC10027_2083;LOC109946117;LOC103654943	XP_020408526.1;NP_001145083.1;NP_001148313.1;XP_020406889.1;XP_035822568.1;XP_008676600.1;XP_035822569.1;XP_035822570.1;NP_001132395.1;XP_008677354.1;NP_001352593.1;XP_020408527.1;XP_008679966.1;XP_020408528.1;XP_020408529.1;NP_001141219.2;NP_001131216.1;NP_001149399.2;XP_020407554.1;XP_020406969.1;NP_001141851.2;XP_008676876.2;NP_001142221.1;XP_023157937.1;XP_035823465.1;XP_008679969.2		107.0	34.03441682600382
27	Saccharide	53056409	53839931	783520	2OG-FeII_Oxy, DIOX_N, Peptidase_S10, UDPGT_2	-	NC_050099.1	LOC103652724;LOC109945987;LOC100382554;LOC103652725;LOC103652726;LOC100277344;LOC542117;LOC100192631;LOC10019_998;LOC100281070;LOC103655025	NP_001288462.1;XP_020408007.1;NP_001281233.1;XP_008677907.1;NP_001306690.1;NP_001144409.2;NP_001105219.1;XP_008676485.1;NP_001131317.1;NP_001147461.1;XP_020407384.3		194.0	50.42016806722689
28	Cyclopeptide	73579994	77904087	4324090	BURP	-	NC_050099.1	LOC103652787;LOC103652788;LOC103655054;LOC100193401;LOC103652790;LOC103655055;LOC10365_767;LOC103655056;LOC10365_766;LOC100384011;LOC103652791;LOC10365_768;LOC10365_769;LOC10365_770;LOC10365_771;LOC10365_772;LOC10365_773;LOC10365_774;LOC10365_775;LOC10365_776;LOC10365_777;LOC100383442;LOC10365_778;LOC10365_779;LOC10365_780;LOC10365_781;LOC10365_782;LOC10365_783;LOC10365_784	XP_008677982.1;XP_008677983.1;XP_020407377.2;NP_001131998.1;XP_020408031.1;XP_008680089.1;XP_020408033.1;XP_008680090.1;XP_020408032.1;NP_001170093.2;XP_020408036.1;XP_008677991.2;XP_020408039.1;XP_020408037.1;XP_020408038.1;XP_020408040.1;XP_008677990.2;XP_035823065.1;XP_035823066.1;XP_035823067.1;XP_035823070.1;NP_001169563.1;XP_008677987.1;XP_008677988.1;XP_020408041.1;XP_035823068.1;XP_020408042.1;XP_020408043.1;XP_035823069.1		107.0	34.50704225352113
29	Saccharide	86411345	87219672	808330	3Beta_HSD, Epimerase, Glycos_transf_2	-	NC_050099.1	LOC100285107;LOC100382854;LOC103655161;LOC100285624;LOC103655162;LOC103652952	NP_001357627.1;NP_001169021.1;XP_008680178.2;NP_001151987.2;XP_008680179.1;XP_008678158.1		145.0	65.03067484662577
30	Fatty_acid	176874497	176952861	78360	CER1-like_C, Epimerase, FA_hydroxylase, Methyltransf_2	-	NC_050099.1	LOC100277478;LOC100277986;LOC100281757;LOC103653257;LOC100283148;LOC100274680	XP_008678425.1;NP_001144885.1;NP_001148149.1;XP_008678426.1;NP_001149522.1;NP_001142471.1		145.0	66.25766871165644
31	Saccharide-Alkaloid	192638665	193218486	579820	AMP-binding, HMGL-like, Str_synth, UDPGT_2, p450	*saccharide, flavonoid	NC_050099.1	LOC103653389;LOC100277574;LOC100282752;LOC103653395;LOC103653394;LOC100383137;LOC10038_890;LOC10027_1730;LOC10027_1731;LOC10027_1732;LOC100276431;LOC100216882;LOC103653397;LOC10365_943;LOC103655347;LOC100272276;LOC103653403;LOC100304412;LOC100285792;LOC100193327;LOC10019_1076;LOC10019_1077;LOC100279594;LOC100191260;LOC103653404;LOC100279228;LOC10027_1733;LOC100282309;LOC10028_1399;LOC10028_1400;LOC10028_1401;LOC10028_1402;LOC10028_1403;LOC100280987;LOC103653407;LOC10365_944;LOC109946024;LOC10994_91;LOC109945528;LOC10994_92;LOC11158_23;LOC11158_22;LOC111589234;LOC118476920;LOC10019_1078;LOC100193991;LOC10019_1079;LOC10019_1080;LOC100217131;LOC100284060;LOC10028_1404;LOC103653410;LOC100501208;LOC100285322;LOC100283769;LOC10028_1405;LOC10028_1406;LOC10028_1407;LOC103653413;LOC100273600;LOC10027_1734;LOC10027_1735;LOC10027_1736;LOC542627;LOC54262_1;LOC54262_2;LOC100280946;LOC103653417;LOC103655359	XP_008678531.1;NP_001144567.1;NP_001149130.2;XP_008678533.1;XP_008678532.1;XP_008677590.1;NP_001169274.1;XP_035822698.1;NP_001299807.1;XP_008676949.2;XP_035822699.1;NP_001346444.1;XP_008678534.1;XP_008678535.1;XP_020408146.1;XP_020408148.1;XP_008678542.1;NP_001343553.1;NP_001152154.2;XP_035822547.1;NP_001131936.1;XP_008676540.1;NP_001146063.1;NP_001130166.1;XP_008678543.1;XP_008677072.1;NP_001145722.1;XP_020407139.1;XP_020407140.1;XP_035822816.1;XP_035822817.1;XP_035822818.1;NP_001148693.2;NP_001147379.1;XP_008678544.1;XP_008678545.1;XP_020408150.1;XP_020408149.1;XP_020407434.1;XP_020407435.1;XP_035823182.1;XP_023158037.1;XP_035823183.1;XP_035823184.1;XP_020406892.1;NP_001315599.1;XP_035822573.1;NP_001132528.2;NP_001346568.1;XP_008677321.1;NP_001357505.1;XP_008678546.2;XP_020407436.1;NP_001151687.1;XP_020407167.1;XP_035822829.1;XP_035822830.1;NP_001150140.1;XP_008678547.2;XP_035822656.1;XP_035822657.1;XP_035822658.1;NP_001352667.1;XP_023158001.1;XP_023158002.1;NP_001105623.1;NP_001159123.1;XP_008678551.2;XP_020408151.1		178.0	12.274368231046932
32	Polyketide	198672764	199263587	590820	Acetyltransf_1, Chal_sti_synt_C, Chal_sti_synt_N, Dimerisation, Methyltransf_2	-	NC_050099.1	LOC100501994;LOC100193663;LOC10019_1082;LOC10019_1083;LOC10019_1084;LOC10019_1085;LOC103653477;LOC10028_1417;LOC100286275;LOC103653478;LOC109945764;LOC109946031	NP_001183513.2;XP_023157921.1;NP_001132228.1;XP_008676574.1;XP_008676576.1;XP_008676577.1;XP_008678593.1;NP_001152634.2;XP_035822864.1;XP_008678594.1;XP_020407703.1;XP_020408161.1		107.0	46.64536741214057
33	Saccharide	215854954	216120791	265840	SQS_PSY, UDPGT_2	-	NC_050099.1	LOC100273712;LOC10027_1849;LOC10027_1850;LOC100191720;LOC100272742;LOC103654125;LOC100381453;LOC103654126	XP_008676840.1;XP_008676841.1;NP_001141595.1;NP_001130621.1;NP_001140667.1;XP_008679177.1;NP_001167762.1;XP_008679178.1		169.0	59.067357512953365
34	Saccharide	246997167	247226390	229220	Aldo_ket_red, Methyltransf_11, UDPGT_2	flavonoid	NC_050099.1	LOC100194175;LOC100280189;LOC100193124;LOC10019_1177;LOC100272666;LOC103654335;LOC100856925;LOC100284292;LOC103654336;LOC100281546;LOC100276056;LOC103654338;LOC100192114	NP_001132695.1;NP_001146593.1;NP_001131756.1;XP_008676525.1;NP_001140596.1;XP_008679397.2;NP_001241740.2;NP_001150659.2;XP_020408369.1;NP_001147937.1;NP_001143411.1;XP_008679400.1;NP_001131009.1		107.0	46.95121951219512
35	Polyketide	35160728	35569168	408440	2OG-FeII_Oxy, Abhydrolase_3, Acetyltransf_1, Chal_sti_synt_C, Chal_sti_synt_N	-	NC_050100.1	LOC103626218;LOC109939457;LOC109939458;LOC103626220;LOC542030;LOC109939503;LOC100216760;LOC100281428;LOC10028_1784;LOC10028_1785;LOC10028_1786;LOC10028_1787;LOC10028_1788;LOC10028_1789;LOC10028_1790;LOC10028_1791;LOC10028_1792;LOC10028_1793;LOC10028_1794;LOC10028_1795;LOC10028_1796;LOC10028_1797;LOC10028_1798;LOC10028_1799;LOC10028_1800;LOC10028_1801;LOC10028_1802;LOC10028_1803;LOC100383257;LOC100381475;LOC100191666;LOC100384111;LOC100193935	XP_008644844.1;XP_023155906.1;XP_020393235.1;XP_008644845.1;NP_001105145.1;XP_020393274.1;NP_001296834.1;XP_020408915.1;XP_035823890.1;XP_035823887.1;XP_035823889.1;XP_020408913.1;XP_035823886.1;XP_008643614.1;XP_008643617.1;XP_035823888.1;XP_008643616.1;XP_008643615.1;XP_020408911.1;XP_020408912.1;XP_035823884.1;NP_001147818.1;XP_008643608.1;XP_008643609.1;XP_008643610.1;XP_008643611.1;XP_008643612.1;XP_008643613.1;NP_001169389.1;NP_001167782.1;NP_001130567.1;NP_001170171.1;NP_001132477.1		107.0	27.070063694267514
36	Saccharide	71058261	71467823	409560	Cellulose_synt, Peptidase_S10, adh_short	-	NC_050100.1	LOC100279929;LOC100281051;LOC100501379;LOC10050_335;LOC10050_336;LOC10050_337;LOC10050_338;LOC109939926;LOC103628263;LOC100276745;LOC10027_2305;LOC10027_2306;LOC541753;LOC103626522;LOC100279176;LOC732808;LOC100274558;LOC100282509;LOC103626523	NP_001146351.1;NP_001147442.1;XP_020393087.1;NP_001183046.1;XP_008644190.1;XP_008644191.1;XP_008644192.1;XP_020393987.1;XP_020393266.1;NP_001143933.1;XP_008681644.1;XP_008681645.1;XP_008645164.1;XP_008645166.1;NP_001316034.1;NP_001278725.1;NP_001142385.1;NP_001150072.1;XP_008645168.1		72.0	35.19553072625698
37	Saccharide-Polyketide	160969515	161930375	960860	Aminotran_1_2, Chal_sti_synt_C, Chal_sti_synt_N, UDPGT_2	flavonoid-9, oleananes-9	NC_050100.1	LOC100273247;LOC103627130;LOC103628609;LOC103627131;LOC103628611;LOC109939956;LOC103628612;LOC103628614;LOC103628616;LOC111589323;LOC109939558;LOC103628618;LOC100501129;LOC100285225;LOC100273032;LOC100191212;LOC10019_1461;LOC100191283	NP_001141161.1;NP_001306638.1;XP_020393736.2;XP_008645668.1;XP_020393326.1;XP_020394113.1;XP_023155921.1;XP_008647006.2;XP_008647008.3;XP_023155922.1;XP_023155923.1;XP_020393328.1;NP_001182866.1;NP_001151591.2;NP_001140953.1;XP_020408578.1;NP_001130118.1;NP_001130189.1		107.0	36.22828784119106
